characterId,캐릭터명,캐릭터 생성 날짜,최고 레벨 달성 날짜,전직명,직업명,전/후,성장속도,성공여부
ca6fefa49a6711b5f02c4d7e9c7ab444,옵티머스s2x,2023-07-08,2023-07-08,거너(여),眞 메카닉,후,1.0,성공
9a8e964e21201ca704576055a2c9f62e,신용l정보,2023-07-19,2023-07-19,프리스트(여),眞 미스트리스,후,1.0,성공
75a0663f6916d1bc64b2e903efc5ceab,아수루56,2023-07-05,2023-07-14,귀검사(남),眞 아수라,후,10.0,실패
4331bf18b925b58c2fc05e1b5349ac38,웹레,2023-07-09,2023-07-09,거너(여),眞 레인저,후,1.0,성공
48cc71b89bbc4961fc41d1fe114fa447,이휘몬,2023-04-27,2023-04-27,아처,眞 트래블러,전,1.0,성공
95e305f6594f682792dd4a6e84b8a28d,인생원캐릭,2023-07-10,2023-07-11,마법사(여),眞 인챈트리스,후,2.0,실패
6c19b628318a5c6f887d7e8958255bcf,자유를탐구,2023-06-04,2023-06-04,아처,眞 트래블러,전,1.0,성공
8a0fe02bdc2b757fe52d6255d3f8d744,푸슝빠슝,2023-07-03,2023-07-03,아처,眞 트래블러,후,1.0,성공
ce7ff840445e95b3e2047866b0a7534c,순경박세원,2023-07-10,2023-07-10,거너(남),眞 레인저,후,1.0,성공
3b166c7b92b76c0e83550ec053286f6b,시즌지옥,2023-07-07,2023-07-07,거너(여),眞 레인저,후,1.0,성공
7f68d1f8d440c95413289a863cf6ae1b,남넨38세,2023-06-08,2023-06-29,격투가(남),眞 넨마스터,전,22.0,실패
85b10115b371b50a048acd928d74d5fb,남메카38세,2023-07-09,2023-07-14,거너(남),眞 메카닉,후,6.0,실패
6ccfc08bdcaed8cd7bdc5d0dfb353276,진뮤즈38새,2023-06-30,2023-07-03,아처,眞 뮤즈,후,4.0,실패
368918535d56b959e2cd1b8c9fd4b729,트래38세,2023-04-27,2023-05-01,아처,眞 트래블러,전,5.0,실패
fc355d589f57b1a4d255e7d0939f6180,차하다아하아,2023-07-16,2023-07-19,아처,眞 뮤즈,후,4.0,실패
8c38b49597bbd4f3aa01bf6dd696f153,소울퍼,2023-07-05,2023-07-10,귀검사(여),眞 데몬슬레이어,후,6.0,실패
3c2dcc35397bf087e30ab0ff2c537c8b,활!도구,2023-05-06,2023-05-11,아처,眞 트래블러,전,6.0,실패
2da689f76ee25ac99d92a39dc3d0fb19,"로제,,",2023-07-08,2023-07-17,거너(여),眞 레인저,후,10.0,실패
b442bd8e006fa0cce02947f93b7347dc,"스파,,",2023-07-04,2023-07-04,거너(남),眞 스핏파이어,후,1.0,성공
7fbbc0877038b17aafbf93eebecc236b,시원한아처,2023-07-11,2023-07-12,아처,眞 트래블러,후,2.0,실패
699ca7e4f6d4006215ed3161a29a39ef,쌈광약,2023-07-01,2023-07-05,격투가(여),眞 스트라이커,후,5.0,실패
0f4d4069f483f61393bfe5f7993c6130,아처갬성,2023-07-16,2023-07-16,아처,眞 트래블러,후,1.0,성공
7c92a5f646b5b658cb87714280174574,양산홀슬3호,2023-07-02,2023-07-11,프리스트(남),眞 크루세이더,후,10.0,실패
a4d3de37af428aa1c930e3dcc1d72eca,양파감자당근,2023-07-11,2023-07-11,아처,眞 뮤즈,후,1.0,성공
271cd65f68814eeeb603204494bee023,엄준Suk,2023-07-15,2023-07-17,아처,眞 트래블러,후,3.0,실패
70d349eff22c8fa2436f80701f1526c9,여행가는궁수,2023-07-16,2023-07-16,아처,眞 트래블러,후,1.0,성공
a5c9ca1d474184c831e2c796f30216fb,C02용접2반,2023-04-28,2023-04-29,아처,眞 트래블러,전,2.0,실패
3581957c66a95aea19a4227e0a4a926e,용접습니다,2023-07-01,2023-07-02,프리스트(여),眞 크루세이더,후,2.0,실패
5aff38f0e6cb03b6d9a66e53a9d122b5,용접관둡니다,2023-06-30,2023-07-01,귀검사(여),眞 소드마스터,후,2.0,실패
e217eed0b70f9d19f30b2df2b7457aaf,.길문어,2023-07-17,2023-07-17,프리스트(남),眞 크루세이더,후,1.0,성공
32804472108728d61b40c55f93352b53,스피드김영근,2023-07-15,2023-07-17,귀검사(남),眞 웨펀마스터,후,3.0,실패
9099b7e2aeca2fa50f08fd92804223f0,월평동활잡이,2023-07-15,2023-07-15,아처,眞 트래블러,후,1.0,성공
